fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax
1236,1025,7.00E-05,0.000651,0,3000,0,0,0,0,1,-360,360
808,552,0.00019,0.00124,0,491,0,0,0,0,1,-360,360
808,431,0.000331,0.002539,0,433,0,0,0,0,1,-360,360
471,428,0.0016,0.02113,0,3000,0,0,0,0,1,-360,360
1128,780,0.000909,0.004711,0,357,0,0,0,0,1,-360,360
1128,780,0.00088,0.004969,0,319,0,0,0,0,1,-360,360
1,1254,0.001841,0.0088,0,3000,0,0,0,0,1,-360,360
1,1184,0.01013,0.04238,0,395,0,0,0,0,1,-360,360
1060,435,0.00059,0.00802,0,723,0,0,0,0,1,-360,360
1060,435,0.00054,0.0079,0,657,0,0,0,0,1,-360,360
1060,593,0.00171,0.02128,0,986,0,0,0,0,1,-360,360
1060,593,0.00174,0.02084,0,854,0,0,0,0,1,-360,360
1060,951,0.00086,0.01433,0,1151,0,0,0,0,1,-360,360
1060,951,0.00087,0.01404,0,723,0,0,0,0,1,-360,360
1060,579,0.00126,0.01447,0,1118,0,0,0,0,1,-360,360
1060,834,0.00122,0.01509,0,1052,0,0,0,0,1,-360,360
1060,834,0.00154,0.019,0,1282,0,0,0,0,1,-360,360
732,729,0.00474,0.03564,0,472,0,0,0,0,1,-360,360
732,871,0.006,0.047849,0,433,0,0,0,0,1,-360,360
732,768,0.008039,0.03375,0,281,0,0,0,0,1,-360,360
996,1066,2.10E-05,0.000211,0,510,0,0,0,0,1,-360,360
1202,557,0.00045,0.002341,0,3000,0,0,0,0,1,-360,360
400,1273,0.000669,0.004281,0,433,0,0,0,0,1,-360,360
1354,1273,0.00068,0.00419,0,3000,0,0,0,0,1,-360,360
462,1037,0.000729,0.00431,0,510,0,0,0,0,1,-360,360
462,1037,0.000591,0.004651,0,453,0,0,0,0,1,-360,360
462,1289,0.00099,0.005081,0,338,0,0,0,0,1,-360,360
227,1108,0.00212,0.013031,0,3000,0,0,0,0,1,-360,360
227,529,0.002159,0.01275,0,3000,0,0,0,0,1,-360,360
1256,559,0.00025,0.00095,0,3000,0,0,0,0,1,-360,360
1256,559,0.000271,0.00089,0,3000,0,0,0,0,1,-360,360
1256,407,0.001961,0.012409,0,281,0,0,0,0,1,-360,360
1256,1205,0.00044,0.00207,0,472,0,0,0,0,1,-360,360
1256,1233,0.000469,0.00143,0,529,0,0,0,0,1,-360,360
1256,950,0.001271,0.01406,0,529,0,0,0,0,1,-360,360
1256,950,0.00124,0.013021,0,529,0,0,0,0,1,-360,360
1256,1305,0.000409,0.00239,0,3000,0,0,0,0,1,-360,360
1256,31,0.00094,0.005,0,338,0,0,0,0,1,-360,360
1256,438,0.000219,0.0007,0,529,0,0,0,0,1,-360,360
1256,980,6.00E-05,0.00025,0,3000,0,0,0,0,1,-360,360
1256,774,5.00E-05,0.000229,0,3000,0,0,0,0,1,-360,360
569,398,0.00019,0.000909,0,3000,0,0,0,0,1,-360,360
331,820,0.001711,0.00782,0,3000,0,0,0,0,1,-360,360
331,986,0.002651,0.01176,0,319,0,0,0,0,1,-360,360
1127,55,0.001409,0.010599,0,3000,0,0,0,0,1,-360,360
1127,781,0.001419,0.010219,0,3000,0,0,0,0,1,-360,360
112,593,0.00013,0.00212,0,756,0,0,0,0,1,-360,360
112,109,0.00026,0.00313,0,1282,0,0,0,0,1,-360,360
676,332,0.0047,0.0318,0,376,0,0,0,0,1,-360,360
676,983,0.00136,0.00768,0,338,0,0,0,0,1,-360,360
676,526,0.005669,0.027789,0,300,0,0,0,0,1,-360,360
1061,911,0.004409,0.033091,0,281,0,0,0,0,1,-360,360
1061,204,0.01056,0.044469,0,3000,0,0,0,0,1,-360,360
1061,1042,0.01963,0.07736,0,338,0,0,0,0,1,-360,360
1061,1083,0.01157,0.04694,0,357,0,0,0,0,1,-360,360
885,116,0.000479,0.00255,0,357,0,0,0,0,1,-360,360
1107,116,0.000469,0.00236,0,3000,0,0,0,0,1,-360,360
171,218,0.01237,0.067039,0,281,0,0,0,0,1,-360,360
171,1234,0.0132,0.056229,0,281,0,0,0,0,1,-360,360
602,619,0.00026,0.001711,0,3000,0,0,0,0,1,-360,360
602,619,0.000271,0.001669,0,3000,0,0,0,0,1,-360,360
993,782,0.000211,0.000401,0,3000,0,0,0,0,1,-360,360
1199,857,0.00105,0.005159,0,3000,0,0,0,0,1,-360,360
1035,985,0.00212,0.00931,0,319,0,0,0,0,1,-360,360
80,982,0.000151,0.00068,0,3000,0,0,0,0,1,-360,360
798,730,0.00019,0.00082,0,3000,0,0,0,0,1,-360,360
757,986,0.003219,0.01405,0,300,0,0,0,0,1,-360,360
966,1339,0.007271,0.033159,0,281,0,0,0,0,1,-360,360
966,1171,0.006659,0.03132,0,300,0,0,0,0,1,-360,360
511,414,0.00057,0.00668,0,1480,0,0,0,0,1,-360,360
511,1029,0.00057,0.00758,0,1414,0,0,0,0,1,-360,360
511,1029,0.00039,0.00607,0,821,0,0,0,0,1,-360,360
511,239,0.00155,0.0179,0,3000,0,0,0,0,1,-360,360
511,690,0.00036,0.00485,0,1545,0,0,0,0,1,-360,360
888,245,0.000581,0.004229,0,338,0,0,0,0,1,-360,360
888,1185,0.00056,0.00431,0,3000,0,0,0,0,1,-360,360
888,858,0.003099,0.020531,0,472,0,0,0,0,1,-360,360
888,476,0.00118,0.016919,0,510,0,0,0,0,1,-360,360
888,778,0.00188,0.01407,0,3000,0,0,0,0,1,-360,360
888,728,0.00545,0.04082,0,357,0,0,0,0,1,-360,360
1058,55,0.00214,0.01639,0,453,0,0,0,0,1,-360,360
1058,710,0.002479,0.01549,0,3000,0,0,0,0,1,-360,360
1164,1313,0.000159,0.001229,0,472,0,0,0,0,1,-360,360
1164,963,0.00026,0.00162,0,453,0,0,0,0,1,-360,360
1164,1006,0.000159,0.00113,0,376,0,0,0,0,1,-360,360
1164,1281,0.000461,0.003219,0,472,0,0,0,0,1,-360,360
1164,634,0.000159,0.001229,0,3000,0,0,0,0,1,-360,360
233,61,0.000229,0.00139,0,376,0,0,0,0,1,-360,360
412,61,0.0002,0.00156,0,338,0,0,0,0,1,-360,360
193,63,0.00145,0.00824,0,281,0,0,0,0,1,-360,360
193,61,0.00069,0.005,0,491,0,0,0,0,1,-360,360
118,558,0.00036,0.00455,0,1809,0,0,0,0,1,-360,360
118,558,0.00036,0.00453,0,1776,0,0,0,0,1,-360,360
1203,1102,0.00066,0.00997,0,1348,0,0,0,0,1,-360,360
1203,1102,0.00064,0.01016,0,986,0,0,0,0,1,-360,360
914,718,9.90E-05,0.00044,0,529,0,0,0,0,1,-360,360
718,663,6.00E-05,0.000469,0,3000,0,0,0,0,1,-360,360
718,234,3.90E-05,0.000341,0,3000,0,0,0,0,1,-360,360
718,1012,0.002531,0.01943,0,433,0,0,0,0,1,-360,360
718,1037,0.00945,0.06418,0,414,0,0,0,0,1,-360,360
1332,32,0.000591,0.002831,0,357,0,0,0,0,1,-360,360
1019,32,0.00087,0.00387,0,3000,0,0,0,0,1,-360,360
91,784,0.0015,0.01785,0,1183,0,0,0,0,1,-360,360
91,784,0.00147,0.0182,0,1151,0,0,0,0,1,-360,360
249,81,0.00151,0.0113,0,376,0,0,0,0,1,-360,360
249,81,0.001479,0.011521,0,395,0,0,0,0,1,-360,360
249,1333,0.00174,0.010341,0,414,0,0,0,0,1,-360,360
249,1333,0.001659,0.01206,0,453,0,0,0,0,1,-360,360
1189,291,0.00069,0.000479,0,3000,0,0,0,0,1,-360,360
1189,1163,0.00044,0.00139,0,3000,0,0,0,0,1,-360,360
142,1183,0.002039,0.01601,0,3000,0,0,0,0,1,-360,360
142,1086,0.01349,0.05662,0,357,0,0,0,0,1,-360,360
142,39,0.00082,0.00438,0,300,0,0,0,0,1,-360,360
142,39,0.0008,0.004461,0,281,0,0,0,0,1,-360,360
142,755,0.001091,0.00888,0,453,0,0,0,0,1,-360,360
142,755,0.00111,0.007039,0,491,0,0,0,0,1,-360,360
373,1220,0.000849,0.00537,0,433,0,0,0,0,1,-360,360
1251,1295,0.00061,0.00275,0,357,0,0,0,0,1,-360,360
900,1119,0.00141,0.0188,0,1315,0,0,0,0,1,-360,360
900,955,0.00121,0.01427,0,1545,0,0,0,0,1,-360,360
484,1181,0.001711,0.007159,0,338,0,0,0,0,1,-360,360
484,1272,0.00545,0.02381,0,300,0,0,0,0,1,-360,360
484,630,0.000771,0.004331,0,3000,0,0,0,0,1,-360,360
484,405,0.00414,0.03282,0,453,0,0,0,0,1,-360,360
484,917,0.00264,0.011521,0,338,0,0,0,0,1,-360,360
484,926,0.00261,0.011,0,376,0,0,0,0,1,-360,360
484,1098,0.00239,0.00919,0,319,0,0,0,0,1,-360,360
484,424,0.000539,0.00226,0,3000,0,0,0,0,1,-360,360
484,999,0.00325,0.017979,0,472,0,0,0,0,1,-360,360
180,682,0.00076,0.0071,0,1216,0,0,0,0,1,-360,360
110,1098,0.000651,0.00343,0,3000,0,0,0,0,1,-360,360
336,656,0.001219,0.00812,0,338,0,0,0,0,1,-360,360
336,715,0.00243,0.01439,0,491,0,0,0,0,1,-360,360
1342,907,0.0006,0.00839,0,1151,0,0,0,0,1,-360,360
1342,907,0.00059,0.00856,0,1085,0,0,0,0,1,-360,360
1342,836,0.00087,0.01328,0,1677,0,0,0,0,1,-360,360
1342,836,0.00073,0.01595,0,1249,0,0,0,0,1,-360,360
430,548,0.00163,0.002039,0,3000,0,0,0,0,1,-360,360
430,548,0.001659,0.002,0,3000,0,0,0,0,1,-360,360
11,852,0.00339,0.019669,0,472,0,0,0,0,1,-360,360
11,346,0.00239,0.017281,0,529,0,0,0,0,1,-360,360
941,1319,0.00032,0.00112,0,395,0,0,0,0,1,-360,360
941,866,0.0018,0.01401,0,395,0,0,0,0,1,-360,360
941,866,0.00212,0.012469,0,433,0,0,0,0,1,-360,360
184,415,0.00063,0.00411,0,3000,0,0,0,0,1,-360,360
929,622,0.009729,0.03505,0,3000,0,0,0,0,1,-360,360
929,533,0.01007,0.03056,0,3000,0,0,0,0,1,-360,360
256,410,0.00042,0.00623,0,3000,0,0,0,0,1,-360,360
256,46,0.00036,0.00722,0,1743,0,0,0,0,1,-360,360
256,951,0.00053,0.0078,0,854,0,0,0,0,1,-360,360
256,284,0.00109,0.0173,0,723,0,0,0,0,1,-360,360
256,859,0.00071,0.01144,0,3000,0,0,0,0,1,-360,360
256,579,0.00157,0.01884,0,1151,0,0,0,0,1,-360,360
256,535,0.00032,0.00384,0,756,0,0,0,0,1,-360,360
1170,261,0.00041,0.00649,0,1447,0,0,0,0,1,-360,360
1170,1135,0.0004,0.00658,0,3000,0,0,0,0,1,-360,360
1170,951,0.00054,0.00763,0,854,0,0,0,0,1,-360,360
1170,284,0.00107,0.01602,0,821,0,0,0,0,1,-360,360
1170,859,0.0007,0.01165,0,3000,0,0,0,0,1,-360,360
1170,834,0.0016,0.01844,0,1249,0,0,0,0,1,-360,360
1170,535,0.00032,0.00376,0,854,0,0,0,0,1,-360,360
692,23,0.00212,0.01207,0,395,0,0,0,0,1,-360,360
470,344,5.00E-05,0.00037,0,3000,0,0,0,0,1,-360,360
911,1269,0.00355,0.024651,0,319,0,0,0,0,1,-360,360
908,1335,0.00675,0.04145,0,433,0,0,0,0,1,-360,360
819,1040,0.00195,0.014341,0,338,0,0,0,0,1,-360,360
1209,657,0.00018,0.00043,0,281,0,0,0,0,1,-360,360
1209,431,0.00037,0.000969,0,357,0,0,0,0,1,-360,360
77,191,0.00257,0.017169,0,376,0,0,0,0,1,-360,360
77,799,0.00076,0.00399,0,395,0,0,0,0,1,-360,360
77,799,0.00075,0.00406,0,395,0,0,0,0,1,-360,360
77,305,0.003901,0.023961,0,472,0,0,0,0,1,-360,360
77,100,0.00249,0.019211,0,357,0,0,0,0,1,-360,360
550,431,0.00025,0.001159,0,376,0,0,0,0,1,-360,360
194,1063,0.00195,0.02924,0,3000,0,0,0,0,1,-360,360
194,323,0.00152,0.01527,0,1381,0,0,0,0,1,-360,360
194,1114,0.00149,0.01558,0,1513,0,0,0,0,1,-360,360
194,149,0.00253,0.0276,0,1282,0,0,0,0,1,-360,360
194,149,0.00263,0.02648,0,1480,0,0,0,0,1,-360,360
194,345,0.00077,0.0092,0,1315,0,0,0,0,1,-360,360
194,636,0.00112,0.01705,0,657,0,0,0,0,1,-360,360
861,1238,0.00226,0.01101,0,3000,0,0,0,0,1,-360,360
861,874,0.004531,0.029039,0,395,0,0,0,0,1,-360,360
861,1169,0.002081,0.030409,0,3000,0,0,0,0,1,-360,360
861,595,0.0053,0.03257,0,338,0,0,0,0,1,-360,360
861,493,0.00513,0.041901,0,453,0,0,0,0,1,-360,360
861,711,0.001461,0.01056,0,357,0,0,0,0,1,-360,360
1195,715,0.0005,0.002591,0,3000,0,0,0,0,1,-360,360
892,916,0.00055,0.0033,0,357,0,0,0,0,1,-360,360
609,944,0.002289,0.01763,0,376,0,0,0,0,1,-360,360
609,320,0.0075,0.043531,0,357,0,0,0,0,1,-360,360
847,305,0.00138,0.019961,0,3000,0,0,0,0,1,-360,360
847,103,0.00126,0.018729,0,491,0,0,0,0,1,-360,360
340,1347,0.00038,0.001331,0,395,0,0,0,0,1,-360,360
340,504,0.00019,0.001461,0,3000,0,0,0,0,1,-360,360
30,710,0.002151,0.013401,0,376,0,0,0,0,1,-360,360
30,1133,0.000789,0.005669,0,472,0,0,0,0,1,-360,360
479,972,3.00E-05,0.00042,0,657,0,0,0,0,1,-360,360
479,85,0.00079,0.00899,0,1282,0,0,0,0,1,-360,360
479,85,0.0008,0.00879,0,1447,0,0,0,0,1,-360,360
479,667,0.00334,0.03393,0,1282,0,0,0,0,1,-360,360
479,241,0.00063,0.00789,0,3000,0,0,0,0,1,-360,360
479,514,0.0006,0.00842,0,1216,0,0,0,0,1,-360,360
699,1166,0.00011,0.00125,0,3000,0,0,0,0,1,-360,360
699,942,0.00012,0.001091,0,3000,0,0,0,0,1,-360,360
699,1121,9.90E-05,0.00125,0,3000,0,0,0,0,1,-360,360
699,52,0.00294,0.02443,0,529,0,0,0,0,1,-360,360
699,413,0.00144,0.011151,0,395,0,0,0,0,1,-360,360
699,377,0.001831,0.010849,0,491,0,0,0,0,1,-360,360
699,377,0.001599,0.01055,0,472,0,0,0,0,1,-360,360
699,445,0.00144,0.019591,0,281,0,0,0,0,1,-360,360
841,135,0.0133,0.09551,0,510,0,0,0,0,1,-360,360
841,665,0.009591,0.073961,0,414,0,0,0,0,1,-360,360
784,395,0.0007,0.00671,0,1447,0,0,0,0,1,-360,360
784,395,0.00072,0.00658,0,1480,0,0,0,0,1,-360,360
347,734,0.001901,0.00964,0,529,0,0,0,0,1,-360,360
347,763,0.001711,0.01189,0,510,0,0,0,0,1,-360,360
299,711,0.00025,0.00187,0,3000,0,0,0,0,1,-360,360
637,816,0.00043,0.002211,0,3000,0,0,0,0,1,-360,360
843,1252,0.000401,0.00243,0,3000,0,0,0,0,1,-360,360
1136,756,0.00336,0.017,0,357,0,0,0,0,1,-360,360
1052,715,0.005521,0.031031,0,3000,0,0,0,0,1,-360,360
661,576,9.90E-05,0.00026,0,3000,0,0,0,0,1,-360,360
997,396,0.00045,0.00718,0,986,0,0,0,0,1,-360,360
997,685,0.00044,0.00665,0,821,0,0,0,0,1,-360,360
997,655,0.00103,0.01516,0,1183,0,0,0,0,1,-360,360
997,1094,0.00101,0.01546,0,854,0,0,0,0,1,-360,360
746,6,0.00045,0.00608,0,1414,0,0,0,0,1,-360,360
746,1350,0.0004,0.00501,0,1249,0,0,0,0,1,-360,360
887,1312,0.001729,0.01337,0,491,0,0,0,0,1,-360,360
887,904,0.00264,0.01489,0,414,0,0,0,0,1,-360,360
887,117,0.002341,0.018961,0,414,0,0,0,0,1,-360,360
887,849,0.001841,0.01363,0,376,0,0,0,0,1,-360,360
1286,1122,0.001219,0.00949,0,395,0,0,0,0,1,-360,360
1286,1312,0.002271,0.01151,0,395,0,0,0,0,1,-360,360
1286,875,0.010781,0.05775,0,3000,0,0,0,0,1,-360,360
1286,933,0.00251,0.013919,0,300,0,0,0,0,1,-360,360
1286,1124,0.00101,0.007331,0,414,0,0,0,0,1,-360,360
368,622,0.00061,0.003909,0,529,0,0,0,0,1,-360,360
604,924,0.004289,0.019331,0,3000,0,0,0,0,1,-360,360
604,622,0.0008,0.004401,0,529,0,0,0,0,1,-360,360
604,719,0.008099,0.03519,0,510,0,0,0,0,1,-360,360
604,1142,0.00063,0.004591,0,414,0,0,0,0,1,-360,360
408,1142,0.000651,0.00456,0,3000,0,0,0,0,1,-360,360
368,1314,0.00114,0.00581,0,3000,0,0,0,0,1,-360,360
368,327,0.001211,0.00538,0,3000,0,0,0,0,1,-360,360
83,572,0.00418,0.030159,0,472,0,0,0,0,1,-360,360
83,1231,0.00324,0.02413,0,510,0,0,0,0,1,-360,360
83,1231,0.003169,0.024591,0,529,0,0,0,0,1,-360,360
522,1312,0.000219,0.00088,0,395,0,0,0,0,1,-360,360
522,1312,0.000289,0.00095,0,414,0,0,0,0,1,-360,360
916,8,0.0035,0.022211,0,453,0,0,0,0,1,-360,360
916,1108,0.00313,0.02256,0,3000,0,0,0,0,1,-360,360
870,1275,0.000831,0.00162,0,3000,0,0,0,0,1,-360,360
473,1234,0.002099,0.01068,0,300,0,0,0,0,1,-360,360
137,1234,0.00224,0.00976,0,3000,0,0,0,0,1,-360,360
1269,206,0.00169,0.01231,0,529,0,0,0,0,1,-360,360
958,1321,0.00011,0.00076,0,3000,0,0,0,0,1,-360,360
1329,1321,0.00011,0.00068,0,3000,0,0,0,0,1,-360,360
1014,924,0.005479,0.021909,0,3000,0,0,0,0,1,-360,360
1014,1277,0.003331,0.017039,0,338,0,0,0,0,1,-360,360
751,656,0.000479,0.001271,0,3000,0,0,0,0,1,-360,360
1087,770,0.00109,0.01629,0,723,0,0,0,0,1,-360,360
1087,1188,4.00E-05,0.00063,0,1710,0,0,0,0,1,-360,360
66,912,0.0053,0.024531,0,472,0,0,0,0,1,-360,360
66,334,0.004659,0.021919,0,319,0,0,0,0,1,-360,360
66,551,0.001659,0.01043,0,472,0,0,0,0,1,-360,360
742,631,0.006961,0.053539,0,395,0,0,0,0,1,-360,360
278,802,0.00036,0.00288,0,529,0,0,0,0,1,-360,360
278,802,0.00038,0.003,0,529,0,0,0,0,1,-360,360
813,740,0.00048,0.00643,0,3000,0,0,0,0,1,-360,360
813,740,0.00051,0.0066,0,3000,0,0,0,0,1,-360,360
813,740,0.00046,0.00729,0,1776,0,0,0,0,1,-360,360
813,806,0.0006,0.00868,0,1710,0,0,0,0,1,-360,360
813,1132,0.00068,0.01076,0,1842,0,0,0,0,1,-360,360
813,1003,0.00066,0.01096,0,1809,0,0,0,0,1,-360,360
460,687,0.00101,0.005099,0,300,0,0,0,0,1,-360,360
70,1224,0.003901,0.02437,0,3000,0,0,0,0,1,-360,360
70,329,0.00276,0.016461,0,453,0,0,0,0,1,-360,360
70,1152,0.00588,0.047081,0,3000,0,0,0,0,1,-360,360
654,272,3.90E-05,0.000219,0,3000,0,0,0,0,1,-360,360
420,556,0.00131,0.00538,0,3000,0,0,0,0,1,-360,360
416,149,0.00679,0.04679,0,920,0,0,0,0,1,-360,360
416,1196,0.00138,0.01466,0,986,0,0,0,0,1,-360,360
1330,1343,0.003531,0.01724,0,3000,0,0,0,0,1,-360,360
1330,203,0.01324,0.06936,0,376,0,0,0,0,1,-360,360
1330,1234,0.00363,0.01743,0,338,0,0,0,0,1,-360,360
1330,1234,0.00257,0.01662,0,433,0,0,0,0,1,-360,360
1330,749,0.01399,0.056289,0,319,0,0,0,0,1,-360,360
1330,146,0.00343,0.01751,0,357,0,0,0,0,1,-360,360
1330,198,0.00301,0.015409,0,3000,0,0,0,0,1,-360,360
1330,230,0.00857,0.033091,0,376,0,0,0,0,1,-360,360
895,1000,0.003341,0.01689,0,3000,0,0,0,0,1,-360,360
1117,448,3.90E-05,0.000219,0,3000,0,0,0,0,1,-360,360
1072,1034,0.00087,0.00714,0,357,0,0,0,0,1,-360,360
702,1196,0.00011,0.001,0,657,0,0,0,0,1,-360,360
243,788,0.000219,0.00101,0,3000,0,0,0,0,1,-360,360
587,788,0.000219,0.001031,0,3000,0,0,0,0,1,-360,360
961,788,0.000271,0.00101,0,3000,0,0,0,0,1,-360,360
543,788,0.000271,0.000979,0,3000,0,0,0,0,1,-360,360
401,788,0.000289,0.00107,0,3000,0,0,0,0,1,-360,360
269,788,0.000289,0.00105,0,3000,0,0,0,0,1,-360,360
656,882,0.001591,0.012289,0,281,0,0,0,0,1,-360,360
318,769,0.000271,0.001901,0,395,0,0,0,0,1,-360,360
318,422,0.00186,0.010711,0,414,0,0,0,0,1,-360,360
145,524,1.00E-05,0.0002,0,3000,0,0,0,0,1,-360,360
615,117,0.000169,0.000271,0,3000,0,0,0,0,1,-360,360
679,117,0.000169,0.00031,0,3000,0,0,0,0,1,-360,360
246,857,0.00526,0.03787,0,453,0,0,0,0,1,-360,360
1176,212,0.000229,0.000599,0,3000,0,0,0,0,1,-360,360
837,816,0.00089,0.004091,0,338,0,0,0,0,1,-360,360
670,1252,0.00093,0.004,0,300,0,0,0,0,1,-360,360
1272,1098,0.00289,0.013099,0,300,0,0,0,0,1,-360,360
342,932,0.002599,0.016479,0,433,0,0,0,0,1,-360,360
58,1130,0.00369,0.02712,0,453,0,0,0,0,1,-360,360
58,582,0.0062,0.04864,0,529,0,0,0,0,1,-360,360
58,42,0.008021,0.059031,0,529,0,0,0,0,1,-360,360
58,1010,0.004979,0.0295,0,472,0,0,0,0,1,-360,360
1192,551,0.001159,0.005281,0,3000,0,0,0,0,1,-360,360
796,1126,0.00361,0.01824,0,3000,0,0,0,0,1,-360,360
796,285,0.001521,0.01075,0,3000,0,0,0,0,1,-360,360
796,641,0.00868,0.041711,0,3000,0,0,0,0,1,-360,360
379,988,0.01118,0.05986,0,3000,0,0,0,0,1,-360,360
379,1103,0.003229,0.02543,0,491,0,0,0,0,1,-360,360
379,1103,0.00218,0.01869,0,3000,0,0,0,0,1,-360,360
379,1103,0.001901,0.021909,0,472,0,0,0,0,1,-360,360
379,1167,0.00974,0.043969,0,300,0,0,0,0,1,-360,360
379,1053,0.003461,0.01814,0,357,0,0,0,0,1,-360,360
379,224,0.00487,0.027669,0,319,0,0,0,0,1,-360,360
1313,165,0.000651,0.003961,0,510,0,0,0,0,1,-360,360
1257,814,0.00169,0.00887,0,300,0,0,0,0,1,-360,360
463,1289,0.001711,0.01336,0,414,0,0,0,0,1,-360,360
228,134,0.00031,0.000539,0,300,0,0,0,0,1,-360,360
478,496,0.0027,0.01157,0,3000,0,0,0,0,1,-360,360
532,81,0.000909,0.006901,0,414,0,0,0,0,1,-360,360
532,734,0.001729,0.01214,0,414,0,0,0,0,1,-360,360
